scope_name,scope_type,scope_value,lens,role_unit_key,dominant_role,occurrences,distinct_lines,distinct_token_types,dominant_role_share,section_count,currier_count,hand_count,marker_count,top_tokens,induction_votes,loose_induction_votes,mean_induction_match,mean_induction_cluster_purity,induction_detail,tokenization_votes,tokenization_loose_votes,supported_tokenization_variants,tokenization_support_detail,tier,new_occurrences_after_higher_tiers,reason_not_promoted
line_marker,line_marker_family,paragraph_continuation,broad_shape,L|or,R00,15,15,4,1.0,4,1,2,1,"lor, ror, chlor, lror",1,2,0.48,0.488,16:0.400/0.482 24:0.467/0.463 32:0.533/0.485 48:0.400/0.501 64:0.600/0.509,3,5,"conservative_family_key, broad_shape_family_key, stolfi_signature_key",surface_token_key:0.00/0.73 conservative_family_key:0.80/0.80 broad_shape_family_key:1.00/1.00 stolfi_signature_key:1.00/1.00 frame_terminal_key:0.07/0.07 edge_signature_key:0.00/0.73 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,15,induction support below promoted threshold
line_marker,line_marker_family,paragraph_continuation,stolfi_inspired_signature,NG|S_BOL|T_or,R06,15,15,5,0.867,5,3,4,1,"dchor, ychor, dshor, ochor, yshor",5,5,0.947,0.55,16:1.000/0.566 24:0.933/0.566 32:0.933/0.564 48:0.933/0.528 64:0.933/0.526,1,3,left_boundary_merge_stolfi_key,surface_token_key:0.00/0.00 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/1.00 frame_terminal_key:0.33/0.87 edge_signature_key:0.00/0.00 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.80/0.80 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,15,"role purity below promoted threshold, tokenization robustness below promoted threshold"
line_marker,line_marker_family,paragraph_continuation,stolfi_inspired_signature,NG|S_LOL|T_or,R00,15,15,4,1.0,4,1,2,1,"lor, ror, chlor, lror",1,2,0.48,0.488,16:0.400/0.482 24:0.467/0.463 32:0.533/0.485 48:0.400/0.501 64:0.600/0.509,3,5,"conservative_family_key, broad_shape_family_key, stolfi_signature_key",surface_token_key:0.00/0.73 conservative_family_key:0.80/0.80 broad_shape_family_key:1.00/1.00 stolfi_signature_key:1.00/1.00 frame_terminal_key:0.07/0.07 edge_signature_key:0.00/0.73 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,15,induction support below promoted threshold
section_currier,section_currier,B|B,surface_token,daiin,R10,15,12,1,1.0,1,1,1,1,daiin,1,1,0.147,0.504,16:0.000/0.445 24:0.000/0.454 32:0.000/0.440 48:0.000/0.468 64:0.733/0.714,2,2,"surface_token_key, frame_terminal_key",surface_token_key:1.00/1.00 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/0.00 frame_terminal_key:1.00/1.00 edge_signature_key:0.00/0.00 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,15,induction support below promoted threshold
section_hand,section_hand,B|2,surface_token,daiin,R10,15,12,1,1.0,1,1,1,1,daiin,1,1,0.147,0.504,16:0.000/0.445 24:0.000/0.454 32:0.000/0.440 48:0.000/0.468 64:0.733/0.714,2,2,"surface_token_key, frame_terminal_key",surface_token_key:1.00/1.00 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/0.00 frame_terminal_key:1.00/1.00 edge_signature_key:0.00/0.00 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,15,induction support below promoted threshold
section_marker,section_marker,B|paragraph_continuation,surface_token,daiin,R10,15,12,1,1.0,1,1,1,1,daiin,1,1,0.147,0.504,16:0.000/0.445 24:0.000/0.454 32:0.000/0.440 48:0.000/0.468 64:0.733/0.714,2,2,"surface_token_key, frame_terminal_key",surface_token_key:1.00/1.00 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/0.00 frame_terminal_key:1.00/1.00 edge_signature_key:0.00/0.00 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,15,induction support below promoted threshold
currier_hand,currier_hand,B|2,broad_shape,G|eedy,R00,15,15,7,0.867,2,1,1,2,"olkeedy, ykeedy, yteedy, keedy, teedy, olteedy, chkeedy",2,5,0.84,0.44,16:0.800/0.417 24:0.867/0.449 32:0.867/0.421 48:0.933/0.458 64:0.733/0.456,3,5,"conservative_family_key, stolfi_signature_key, edge_signature_key",surface_token_key:0.00/0.53 conservative_family_key:0.80/0.80 broad_shape_family_key:0.00/1.00 stolfi_signature_key:0.80/0.80 frame_terminal_key:0.00/0.73 edge_signature_key:0.60/0.60 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,15,role purity below promoted threshold
currier_marker,currier_marker,B|paragraph_continuation,broad_shape,L|or,R00,15,15,4,1.0,4,1,2,1,"lor, ror, chlor, lror",1,2,0.48,0.488,16:0.400/0.482 24:0.467/0.463 32:0.533/0.485 48:0.400/0.501 64:0.600/0.509,3,5,"conservative_family_key, broad_shape_family_key, stolfi_signature_key",surface_token_key:0.00/0.73 conservative_family_key:0.80/0.80 broad_shape_family_key:1.00/1.00 stolfi_signature_key:1.00/1.00 frame_terminal_key:0.07/0.07 edge_signature_key:0.00/0.73 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,15,induction support below promoted threshold
currier_marker,currier_marker,B|paragraph_continuation,stolfi_inspired_signature,NG|S_LOL|T_or,R00,15,15,4,1.0,4,1,2,1,"lor, ror, chlor, lror",1,2,0.48,0.488,16:0.400/0.482 24:0.467/0.463 32:0.533/0.485 48:0.400/0.501 64:0.600/0.509,3,5,"conservative_family_key, broad_shape_family_key, stolfi_signature_key",surface_token_key:0.00/0.73 conservative_family_key:0.80/0.80 broad_shape_family_key:1.00/1.00 stolfi_signature_key:1.00/1.00 frame_terminal_key:0.07/0.07 edge_signature_key:0.00/0.73 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,15,induction support below promoted threshold
section,meta_I,B,stolfi_inspired_signature,NG|S_EDY|T_edy,R06,22,20,3,0.864,1,1,1,1,"sheedy, cheedy, qoeedy",4,5,0.873,0.468,16:0.955/0.450 24:0.773/0.480 32:0.909/0.453 48:0.864/0.477 64:0.864/0.483,1,4,surface_token_key,surface_token_key:0.59/0.59 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/1.00 frame_terminal_key:0.00/0.59 edge_signature_key:0.00/0.59 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.36 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,9,"role purity below promoted threshold, tokenization robustness below promoted threshold"
section_currier,section_currier,B|B,stolfi_inspired_signature,NG|S_EDY|T_edy,R06,22,20,3,0.864,1,1,1,1,"sheedy, cheedy, qoeedy",4,5,0.873,0.468,16:0.955/0.450 24:0.773/0.480 32:0.909/0.453 48:0.864/0.477 64:0.864/0.483,1,4,surface_token_key,surface_token_key:0.59/0.59 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/1.00 frame_terminal_key:0.00/0.59 edge_signature_key:0.00/0.59 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.36 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,9,"role purity below promoted threshold, tokenization robustness below promoted threshold"
section_hand,section_hand,B|2,stolfi_inspired_signature,NG|S_EDY|T_edy,R06,22,20,3,0.864,1,1,1,1,"sheedy, cheedy, qoeedy",4,5,0.873,0.468,16:0.955/0.450 24:0.773/0.480 32:0.909/0.453 48:0.864/0.477 64:0.864/0.483,1,4,surface_token_key,surface_token_key:0.59/0.59 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/1.00 frame_terminal_key:0.00/0.59 edge_signature_key:0.00/0.59 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.36 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,9,"role purity below promoted threshold, tokenization robustness below promoted threshold"
section_marker,section_marker,B|paragraph_continuation,stolfi_inspired_signature,NG|S_EDY|T_edy,R06,22,20,3,0.864,1,1,1,1,"sheedy, cheedy, qoeedy",4,5,0.873,0.468,16:0.955/0.450 24:0.773/0.480 32:0.909/0.453 48:0.864/0.477 64:0.864/0.483,1,4,surface_token_key,surface_token_key:0.59/0.59 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/1.00 frame_terminal_key:0.00/0.59 edge_signature_key:0.00/0.59 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.36 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,9,"role purity below promoted threshold, tokenization robustness below promoted threshold"
section,meta_I,H,surface_token,daiin,R10,78,67,1,1.0,1,2,2,3,daiin,1,1,0.172,0.509,16:0.000/0.442 24:0.000/0.473 32:0.000/0.430 48:0.000/0.450 64:0.859/0.751,2,3,"surface_token_key, frame_terminal_key",surface_token_key:1.00/1.00 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/0.00 frame_terminal_key:1.00/1.00 edge_signature_key:0.00/1.00 left_boundary_merge_broad_key:0.13/0.13 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.10 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,5,induction support below promoted threshold
section_marker,section_marker,H|paragraph_continuation,surface_token,daiin,R10,73,62,1,1.0,1,2,2,1,daiin,1,1,0.17,0.51,16:0.000/0.445 24:0.000/0.474 32:0.000/0.433 48:0.000/0.449 64:0.849/0.751,2,3,"surface_token_key, frame_terminal_key",surface_token_key:1.00/1.00 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/0.00 frame_terminal_key:1.00/1.00 edge_signature_key:0.00/1.00 left_boundary_merge_broad_key:0.14/0.14 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.11 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,5,induction support below promoted threshold
section,meta_I,C,stolfi_inspired_signature,NG|S_OL|T_r,R06,18,15,8,0.889,1,2,2,4,"ar, dar, sar, or, shor, char, oar, dor",3,5,0.633,0.513,16:0.778/0.495 24:0.556/0.507 32:0.667/0.521 48:0.667/0.543 64:0.500/0.501,1,1,stolfi_signature_key,surface_token_key:0.00/0.00 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:1.00/1.00 frame_terminal_key:0.00/0.00 edge_signature_key:0.00/0.00 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,5,"role purity below promoted threshold, tokenization robustness below promoted threshold"
