scope_name,scope_type,scope_value,lens,role_unit_key,dominant_role,occurrences,distinct_lines,distinct_token_types,dominant_role_share,section_count,currier_count,hand_count,marker_count,top_tokens,induction_votes,loose_induction_votes,mean_induction_match,mean_induction_cluster_purity,induction_detail,tokenization_votes,tokenization_loose_votes,supported_tokenization_variants,tokenization_support_detail,tier,new_occurrences_after_higher_tiers,reason_not_promoted
currier_marker,currier_marker,B|paragraph_continuation,broad_shape,EXGX|y,R00,21,21,5,1.0,4,1,2,1,"checkhy, sheckhy, checthy, shecthy, sheeckhy",0,5,0.905,0.423,16:0.952/0.405 24:0.952/0.415 32:0.905/0.425 48:0.857/0.432 64:0.857/0.439,2,3,"broad_shape_family_key, stolfi_signature_key",surface_token_key:0.00/0.00 conservative_family_key:0.00/0.95 broad_shape_family_key:1.00/1.00 stolfi_signature_key:0.57/1.00 frame_terminal_key:0.00/0.00 edge_signature_key:0.00/0.00 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,21,induction support below promoted threshold
currier_marker,currier_marker,B|paragraph_continuation,stolfi_inspired_signature,NG|S_OL|T_r,R06,137,107,14,0.854,5,1,4,1,"ar, dar, or, sar, sor, chor, char, dor",5,5,0.797,0.481,16:0.949/0.464 24:0.766/0.483 32:0.781/0.482 48:0.825/0.504 64:0.664/0.473,2,4,"surface_token_key, edge_signature_key",surface_token_key:0.68/0.74 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/1.00 frame_terminal_key:0.34/0.82 edge_signature_key:0.68/0.74 left_boundary_merge_broad_key:0.00/0.21 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.14/0.28 right_boundary_merge_stolfi_key:0.00/0.16,good_but_not_reliable_enough,20,role purity below promoted threshold
global,global,global,broad_shape,OX|NONE,R00,20,19,10,0.9,7,3,5,4,"chos, os, as, okos, otos, olos, og, dag",1,3,0.53,0.484,16:0.350/0.483 24:0.800/0.500 32:0.550/0.466 48:0.400/0.478 64:0.550/0.494,3,4,"conservative_family_key, broad_shape_family_key, frame_terminal_key",surface_token_key:0.00/0.00 conservative_family_key:0.75/0.75 broad_shape_family_key:1.00/1.00 stolfi_signature_key:0.00/0.80 frame_terminal_key:0.55/0.55 edge_signature_key:0.35/0.35 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,20,induction support below promoted threshold
section,meta_I,B,surface_token,qokal,H08,20,18,1,1.0,1,1,1,1,qokal,1,1,0.49,0.395,16:0.350/0.334 24:0.650/0.467 32:0.300/0.425 48:0.500/0.370 64:0.650/0.380,2,3,"surface_token_key, frame_terminal_key",surface_token_key:1.00/1.00 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/0.00 frame_terminal_key:1.00/1.00 edge_signature_key:0.00/1.00 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,20,induction support below promoted threshold
section_currier,section_currier,B|B,surface_token,qokal,H08,20,18,1,1.0,1,1,1,1,qokal,1,1,0.49,0.395,16:0.350/0.334 24:0.650/0.467 32:0.300/0.425 48:0.500/0.370 64:0.650/0.380,2,3,"surface_token_key, frame_terminal_key",surface_token_key:1.00/1.00 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/0.00 frame_terminal_key:1.00/1.00 edge_signature_key:0.00/1.00 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,20,induction support below promoted threshold
section_hand,section_hand,B|2,surface_token,qokal,H08,20,18,1,1.0,1,1,1,1,qokal,1,1,0.49,0.395,16:0.350/0.334 24:0.650/0.467 32:0.300/0.425 48:0.500/0.370 64:0.650/0.380,2,3,"surface_token_key, frame_terminal_key",surface_token_key:1.00/1.00 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/0.00 frame_terminal_key:1.00/1.00 edge_signature_key:0.00/1.00 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,20,induction support below promoted threshold
section_marker,section_marker,B|paragraph_continuation,surface_token,qokal,H08,20,18,1,1.0,1,1,1,1,qokal,1,1,0.49,0.395,16:0.350/0.334 24:0.650/0.467 32:0.300/0.425 48:0.500/0.370 64:0.650/0.380,2,4,"surface_token_key, frame_terminal_key",surface_token_key:1.00/1.00 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/1.00 frame_terminal_key:1.00/1.00 edge_signature_key:0.00/1.00 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,20,induction support below promoted threshold
global,global,global,surface_token,dol,R06,19,18,1,1.0,3,2,2,1,dol,1,5,0.916,0.452,16:1.000/0.446 24:0.895/0.437 32:0.947/0.483 48:0.947/0.448 64:0.789/0.446,2,2,"surface_token_key, edge_signature_key",surface_token_key:1.00/1.00 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/0.00 frame_terminal_key:0.00/0.00 edge_signature_key:1.00/1.00 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,19,induction support below promoted threshold
line_marker,line_marker_family,paragraph_continuation,surface_token,dol,R06,19,18,1,1.0,3,2,2,1,dol,1,5,0.916,0.452,16:1.000/0.446 24:0.895/0.437 32:0.947/0.483 48:0.947/0.448 64:0.789/0.446,2,2,"surface_token_key, edge_signature_key",surface_token_key:1.00/1.00 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/0.00 frame_terminal_key:0.00/0.00 edge_signature_key:1.00/1.00 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,19,induction support below promoted threshold
global,global,global,surface_token,dam,R06,18,18,1,1.0,6,3,4,5,dam,1,2,0.444,0.468,16:0.667/0.440 24:0.333/0.456 32:0.278/0.479 48:0.722/0.490 64:0.222/0.474,3,3,"surface_token_key, frame_terminal_key, edge_signature_key",surface_token_key:1.00/1.00 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/0.00 frame_terminal_key:1.00/1.00 edge_signature_key:1.00/1.00 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,18,induction support below promoted threshold
