scope_name,scope_type,scope_value,lens,role_unit_key,dominant_role,occurrences,distinct_lines,distinct_token_types,dominant_role_share,section_count,currier_count,hand_count,marker_count,top_tokens,induction_votes,loose_induction_votes,mean_induction_match,mean_induction_cluster_purity,induction_detail,tier,new_occurrences_after_higher_tiers,reason_not_promoted
global,global,global,surface_token,dam,R06,18,18,1,1.0,6,3,4,5,dam,1,2,0.444,0.468,16:0.667/0.440 24:0.333/0.456 32:0.278/0.479 48:0.722/0.490 64:0.222/0.474,good_but_not_reliable_enough,18,"induction support below reliable threshold, evidence count below reliable threshold"
global,global,global,broad_shape,O|NONE,R00,18,18,3,1.0,8,3,5,6,"o, a, oa",5,5,0.856,0.533,16:0.722/0.524 24:0.944/0.533 32:0.889/0.532 48:0.833/0.539 64:0.889/0.539,good_but_not_reliable_enough,18,evidence count below reliable threshold
global,global,global,stolfi_inspired_signature,NG|S_O|T_NONE,R00,18,18,3,1.0,8,3,5,6,"o, a, oa",5,5,0.856,0.533,16:0.722/0.524 24:0.944/0.533 32:0.889/0.532 48:0.833/0.539 64:0.889/0.539,good_but_not_reliable_enough,18,evidence count below reliable threshold
global,global,global,surface_token,sheol,R06,17,17,1,1.0,6,3,4,4,sheol,5,5,0.8,0.485,16:0.882/0.464 24:0.706/0.496 32:0.824/0.480 48:0.765/0.512 64:0.824/0.473,good_but_not_reliable_enough,17,evidence count below reliable threshold
global,global,global,stolfi_inspired_signature,G_k|S_LGEY|T_eey,R00,17,15,4,0.941,2,1,3,1,"lkeey, lkeeey, rkeey, qolkeey",2,5,0.941,0.452,16:0.941/0.456 24:1.000/0.483 32:0.941/0.446 48:0.941/0.444 64:0.882/0.428,good_but_not_reliable_enough,17,"role purity below reliable threshold, evidence count below reliable threshold"
currier,meta_L,B,stolfi_inspired_signature,G_k|S_LGEY|T_eey,R00,17,15,4,0.941,2,1,3,1,"lkeey, lkeeey, rkeey, qolkeey",2,5,0.941,0.452,16:0.941/0.456 24:1.000/0.483 32:0.941/0.446 48:0.941/0.444 64:0.882/0.428,good_but_not_reliable_enough,17,"role purity below reliable threshold, evidence count below reliable threshold"
line_marker,line_marker_family,paragraph_continuation,stolfi_inspired_signature,G_k|S_LGEY|T_eey,R00,17,15,4,0.941,2,1,3,1,"lkeey, lkeeey, rkeey, qolkeey",2,5,0.941,0.452,16:0.941/0.456 24:1.000/0.483 32:0.941/0.446 48:0.941/0.444 64:0.882/0.428,good_but_not_reliable_enough,17,"role purity below reliable threshold, evidence count below reliable threshold, narrow compound scope"
currier_marker,currier_marker,B|paragraph_continuation,stolfi_inspired_signature,G_k|S_LGEY|T_eey,R00,17,15,4,0.941,2,1,3,1,"lkeey, lkeeey, rkeey, qolkeey",2,5,0.941,0.452,16:0.941/0.456 24:1.000/0.483 32:0.941/0.446 48:0.941/0.444 64:0.882/0.428,good_but_not_reliable_enough,17,"role purity below reliable threshold, evidence count below reliable threshold, narrow compound scope"
global,global,global,broad_shape,L|or,R00,16,16,4,1.0,4,1,2,2,"lor, ror, chlor, lror",1,2,0.463,0.484,16:0.375/0.480 24:0.438/0.461 32:0.500/0.482 48:0.375/0.495 64:0.625/0.501,good_but_not_reliable_enough,16,"induction support below reliable threshold, evidence count below reliable threshold"
global,global,global,stolfi_inspired_signature,NG|S_LOL|T_or,R00,16,16,4,1.0,4,1,2,2,"lor, ror, chlor, lror",1,2,0.463,0.484,16:0.375/0.480 24:0.438/0.461 32:0.500/0.482 48:0.375/0.495 64:0.625/0.501,good_but_not_reliable_enough,16,"induction support below reliable threshold, evidence count below reliable threshold"
currier,meta_L,B,broad_shape,L|or,R00,16,16,4,1.0,4,1,2,2,"lor, ror, chlor, lror",1,2,0.463,0.484,16:0.375/0.480 24:0.438/0.461 32:0.500/0.482 48:0.375/0.495 64:0.625/0.501,good_but_not_reliable_enough,16,"induction support below reliable threshold, evidence count below reliable threshold"
currier,meta_L,B,stolfi_inspired_signature,NG|S_LOL|T_or,R00,16,16,4,1.0,4,1,2,2,"lor, ror, chlor, lror",1,2,0.463,0.484,16:0.375/0.480 24:0.438/0.461 32:0.500/0.482 48:0.375/0.495 64:0.625/0.501,good_but_not_reliable_enough,16,"induction support below reliable threshold, evidence count below reliable threshold"
global,global,global,surface_token,l,R06,15,15,1,1.0,5,3,5,4,l,2,2,0.413,0.505,16:0.667/0.494 24:0.467/0.499 32:0.200/0.488 48:0.667/0.500 64:0.067/0.544,good_but_not_reliable_enough,15,evidence count below reliable threshold
global,global,global,surface_token,oly,R06,15,15,1,1.0,5,3,5,2,oly,2,2,0.453,0.486,16:0.600/0.453 24:0.333/0.471 32:0.333/0.488 48:0.400/0.516 64:0.600/0.502,good_but_not_reliable_enough,15,evidence count below reliable threshold
global,global,global,surface_token,sol,R06,15,15,1,1.0,5,3,5,2,sol,5,5,0.987,0.524,16:1.000/0.504 24:1.000/0.507 32:1.000/0.523 48:1.000/0.560 64:0.933/0.526,good_but_not_reliable_enough,15,evidence count below reliable threshold
global,global,global,conservative_morphology,os|NONE|OX,R00,15,14,6,0.933,5,3,5,4,"chos, os, okos, olos, otos, qoos",1,2,0.493,0.492,16:0.267/0.489 24:0.800/0.518 32:0.533/0.477 48:0.400/0.476 64:0.467/0.501,good_but_not_reliable_enough,15,"role purity below reliable threshold, induction support below reliable threshold, evidence count below reliable threshold"
section,meta_I,B,surface_token,daiin,R10,15,12,1,1.0,1,1,1,1,daiin,1,1,0.147,0.504,16:0.000/0.445 24:0.000/0.454 32:0.000/0.440 48:0.000/0.468 64:0.733/0.714,good_but_not_reliable_enough,15,"induction support below reliable threshold, evidence count below reliable threshold"
section,meta_I,Z,broad_shape,OL|y,R00,15,15,6,1.0,1,1,1,2,"otaly, okaly, okary, ary, okoly, orary",5,5,1.0,0.743,16:1.000/0.743 24:1.000/0.735 32:1.000/0.743 48:1.000/0.749 64:1.000/0.742,good_but_not_reliable_enough,15,evidence count below reliable threshold
section,meta_I,S,stolfi_inspired_signature,G_k|S_LGEY|T_eey,R00,15,13,3,1.0,1,1,2,1,"lkeey, lkeeey, rkeey",4,5,0.96,0.461,16:1.000/0.465 24:1.000/0.493 32:0.933/0.454 48:0.933/0.456 64:0.933/0.439,good_but_not_reliable_enough,15,evidence count below reliable threshold
currier,meta_L,nan,broad_shape,EO|dy,R00,15,15,7,0.933,3,1,1,5,"okeody, cheody, sheody, okeeeody, oeeody, okeeody, eeeody",5,5,0.827,0.625,16:0.733/0.622 24:0.933/0.644 32:0.800/0.618 48:0.733/0.603 64:0.933/0.640,good_but_not_reliable_enough,15,"role purity below reliable threshold, evidence count below reliable threshold"
hand,meta_H,4,broad_shape,EO|dy,R00,15,15,7,0.933,3,1,1,5,"okeody, cheody, sheody, okeeeody, oeeody, okeeody, eeeody",5,5,0.827,0.625,16:0.733/0.622 24:0.933/0.644 32:0.800/0.618 48:0.733/0.603 64:0.933/0.640,good_but_not_reliable_enough,15,"role purity below reliable threshold, evidence count below reliable threshold"
line_marker,line_marker_family,paragraph_continuation,broad_shape,L|or,R00,15,15,4,1.0,4,1,2,1,"lor, ror, chlor, lror",1,2,0.48,0.488,16:0.400/0.482 24:0.467/0.463 32:0.533/0.485 48:0.400/0.501 64:0.600/0.509,good_but_not_reliable_enough,15,"induction support below reliable threshold, evidence count below reliable threshold, narrow compound scope"
line_marker,line_marker_family,paragraph_continuation,stolfi_inspired_signature,NG|S_LOL|T_or,R00,15,15,4,1.0,4,1,2,1,"lor, ror, chlor, lror",1,2,0.48,0.488,16:0.400/0.482 24:0.467/0.463 32:0.533/0.485 48:0.400/0.501 64:0.600/0.509,good_but_not_reliable_enough,15,"induction support below reliable threshold, evidence count below reliable threshold, narrow compound scope"
section_currier,section_currier,B|B,surface_token,daiin,R10,15,12,1,1.0,1,1,1,1,daiin,1,1,0.147,0.504,16:0.000/0.445 24:0.000/0.454 32:0.000/0.440 48:0.000/0.468 64:0.733/0.714,good_but_not_reliable_enough,15,"induction support below reliable threshold, evidence count below reliable threshold, narrow compound scope"
section_currier,section_currier,Z|nan,broad_shape,OL|y,R00,15,15,6,1.0,1,1,1,2,"otaly, okaly, okary, ary, okoly, orary",5,5,1.0,0.743,16:1.000/0.743 24:1.000/0.735 32:1.000/0.743 48:1.000/0.749 64:1.000/0.742,good_but_not_reliable_enough,15,"evidence count below reliable threshold, narrow compound scope"
section_currier,section_currier,S|B,stolfi_inspired_signature,G_k|S_LGEY|T_eey,R00,15,13,3,1.0,1,1,2,1,"lkeey, lkeeey, rkeey",4,5,0.96,0.461,16:1.000/0.465 24:1.000/0.493 32:0.933/0.454 48:0.933/0.456 64:0.933/0.439,good_but_not_reliable_enough,15,"evidence count below reliable threshold, narrow compound scope"
section_hand,section_hand,B|2,surface_token,daiin,R10,15,12,1,1.0,1,1,1,1,daiin,1,1,0.147,0.504,16:0.000/0.445 24:0.000/0.454 32:0.000/0.440 48:0.000/0.468 64:0.733/0.714,good_but_not_reliable_enough,15,"induction support below reliable threshold, evidence count below reliable threshold, narrow compound scope"
section_hand,section_hand,Z|4,broad_shape,OL|y,R00,15,15,6,1.0,1,1,1,2,"otaly, okaly, okary, ary, okoly, orary",5,5,1.0,0.743,16:1.000/0.743 24:1.000/0.735 32:1.000/0.743 48:1.000/0.749 64:1.000/0.742,good_but_not_reliable_enough,15,"evidence count below reliable threshold, narrow compound scope"
section_marker,section_marker,B|paragraph_continuation,surface_token,daiin,R10,15,12,1,1.0,1,1,1,1,daiin,1,1,0.147,0.504,16:0.000/0.445 24:0.000/0.454 32:0.000/0.440 48:0.000/0.468 64:0.733/0.714,good_but_not_reliable_enough,15,"induction support below reliable threshold, evidence count below reliable threshold, narrow compound scope"
section_marker,section_marker,S|paragraph_continuation,stolfi_inspired_signature,G_k|S_LGEY|T_eey,R00,15,13,3,1.0,1,1,2,1,"lkeey, lkeeey, rkeey",4,5,0.96,0.461,16:1.000/0.465 24:1.000/0.493 32:0.933/0.454 48:0.933/0.456 64:0.933/0.439,good_but_not_reliable_enough,15,"evidence count below reliable threshold, narrow compound scope"
currier_hand,currier_hand,nan|4,broad_shape,EO|dy,R00,15,15,7,0.933,3,1,1,5,"okeody, cheody, sheody, okeeeody, oeeody, okeeody, eeeody",5,5,0.827,0.625,16:0.733/0.622 24:0.933/0.644 32:0.800/0.618 48:0.733/0.603 64:0.933/0.640,good_but_not_reliable_enough,15,"role purity below reliable threshold, evidence count below reliable threshold, narrow compound scope"
currier_marker,currier_marker,B|paragraph_continuation,broad_shape,L|or,R00,15,15,4,1.0,4,1,2,1,"lor, ror, chlor, lror",1,2,0.48,0.488,16:0.400/0.482 24:0.467/0.463 32:0.533/0.485 48:0.400/0.501 64:0.600/0.509,good_but_not_reliable_enough,15,"induction support below reliable threshold, evidence count below reliable threshold, narrow compound scope"
currier_marker,currier_marker,B|paragraph_continuation,stolfi_inspired_signature,NG|S_LOL|T_or,R00,15,15,4,1.0,4,1,2,1,"lor, ror, chlor, lror",1,2,0.48,0.488,16:0.400/0.482 24:0.467/0.463 32:0.533/0.485 48:0.400/0.501 64:0.600/0.509,good_but_not_reliable_enough,15,"induction support below reliable threshold, evidence count below reliable threshold, narrow compound scope"
section,meta_I,H,conservative_morphology,ckh|y|XGX,R00,20,20,5,0.9,1,2,2,1,"chckhy, ckhy, ockhy, qockhy, shckhy",5,5,0.98,0.499,16:1.000/0.491 24:1.000/0.528 32:1.000/0.501 48:0.950/0.479 64:0.950/0.499,good_but_not_reliable_enough,10,role purity below reliable threshold
section,meta_I,H,stolfi_inspired_signature,G_k|S_XGXY|T_y,R00,20,20,5,0.9,1,2,2,1,"chckhy, ckhy, ockhy, qockhy, shckhy",5,5,0.98,0.499,16:1.000/0.491 24:1.000/0.528 32:1.000/0.501 48:0.950/0.479 64:0.950/0.499,good_but_not_reliable_enough,10,role purity below reliable threshold
section_marker,section_marker,H|paragraph_continuation,conservative_morphology,ckh|y|XGX,R00,20,20,5,0.9,1,2,2,1,"chckhy, ckhy, ockhy, qockhy, shckhy",5,5,0.98,0.499,16:1.000/0.491 24:1.000/0.528 32:1.000/0.501 48:0.950/0.479 64:0.950/0.499,good_but_not_reliable_enough,10,"role purity below reliable threshold, narrow compound scope"
section_marker,section_marker,H|paragraph_continuation,stolfi_inspired_signature,G_k|S_XGXY|T_y,R00,20,20,5,0.9,1,2,2,1,"chckhy, ckhy, ockhy, qockhy, shckhy",5,5,0.98,0.499,16:1.000/0.491 24:1.000/0.528 32:1.000/0.501 48:0.950/0.479 64:0.950/0.499,good_but_not_reliable_enough,10,"role purity below reliable threshold, narrow compound scope"
