lens,induction_k,induced_cluster,cluster_occurrences,cluster_units,cluster_dominant_role,cluster_dominant_role_share,cluster_top_roles
stolfi_inspired_signature,50,21,30,2,R00,0.567,"R00,H08,R06"
stolfi_inspired_signature,50,22,17,1,R00,0.588,"R00,H11,R03"
stolfi_inspired_signature,50,23,903,6,R06,0.4,"R06,R07,R00"
stolfi_inspired_signature,50,24,12,1,R09,0.417,"R09,R06,R07"
stolfi_inspired_signature,50,25,71,4,R04,0.451,"R04,R00,R06"
stolfi_inspired_signature,50,26,47,2,R00,0.702,"R00,R06"
stolfi_inspired_signature,50,27,40,3,R06,0.75,"R06,R00"
stolfi_inspired_signature,50,28,24,1,R06,0.917,"R06,R00"
stolfi_inspired_signature,50,29,23,2,R04,0.565,"R04,R06,R00"
stolfi_inspired_signature,50,30,19,1,R06,0.579,"R06,R00"
stolfi_inspired_signature,50,31,13,1,R06,0.846,"R06,R00"
stolfi_inspired_signature,50,32,23,1,R00,0.87,"R00,R06"
stolfi_inspired_signature,50,33,34,2,R00,0.412,"R00,R04,H07"
stolfi_inspired_signature,50,34,73,3,R00,0.562,"R00,H08,H13"
stolfi_inspired_signature,50,35,75,3,R06,0.587,"R06,R00,H08"
stolfi_inspired_signature,50,36,36,3,R06,0.611,"R06,R00"
stolfi_inspired_signature,50,37,14,1,R00,1.0,R00
stolfi_inspired_signature,50,38,241,2,H12,0.369,"H12,H01,R00"
stolfi_inspired_signature,50,39,29,1,R06,0.552,"R06,R00,H07"
stolfi_inspired_signature,50,40,52,2,R00,0.712,"R00,R06"
stolfi_inspired_signature,50,41,45,1,R00,1.0,R00
stolfi_inspired_signature,50,42,10,1,R00,0.7,"R00,R06"
stolfi_inspired_signature,50,43,40,2,R06,0.75,"R06,R00"
stolfi_inspired_signature,50,44,20,1,R00,0.65,"R00,R06"
stolfi_inspired_signature,50,45,14,1,R00,1.0,R00
stolfi_inspired_signature,50,46,33,2,R01,0.697,"R01,H13"
stolfi_inspired_signature,50,47,192,1,R06,0.5,"R06,R02,R00"
stolfi_inspired_signature,50,48,167,2,R06,0.946,"R06,H07,R00"
stolfi_inspired_signature,50,49,34,2,R00,0.824,"R00,H21,H07"
