token,occurrences_core,distinct_lines,dominant_role,dominant_role_share,role_entropy_norm,stratified_role_purity,stratum_majority_role_agreement,strata_total,strata_with_2plus_occurrences,portable_strata_2plus,conflict_strata_2plus,dominant_module,dominant_module_share,module_entropy_norm,stratified_module_purity,distinct_section_I,dominant_I,dominant_I_share,section_I_entropy_norm,distinct_currier_L,dominant_L,dominant_L_share,currier_L_entropy_norm,distinct_hand_H,dominant_H,dominant_H_share,hand_H_entropy_norm,distinct_marker_family,dominant_marker,dominant_marker_share,marker_entropy_norm,metadata_concentration_risk_max_share,pass26_residual_status,pass21_24_candidate_class,pass21_24_candidate_confidence,sample_loci,sample_strata
ar,58,52,R06,1.0,0.0,1.0,1.0,15,7,7,0,G2,0.466,0.811,0.672,7,S,0.483,0.732,3,B,0.724,0.708,5,3,0.483,0.777,4,paragraph_continuation,0.897,0.315,0.897,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f11v.3,+P0;f26v.5,+P0;f32v.10,+P0;f34r.13,+P0;f35v.13,+P0;f39r.7,+P0;f39r.11,+P0;f39v.9,+P0;f40r.5,+P0;f40v.16,+P0",A||4|paragraph_continuation:2/R06;A||4|paragraph_start:1/R06;A||4|radial/ring_text:1/R06;B|B|2|paragraph_continuation:2/R06;C|B|2|paragraph_continuation:1/R06;C||4|&L:1/R06
dar,49,47,R06,1.0,0.0,1.0,1.0,16,8,8,0,G2,0.449,0.971,0.735,7,H,0.388,0.858,3,B,0.571,0.836,5,2,0.49,0.778,7,paragraph_continuation,0.816,0.409,0.816,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f6r.9,+P0;f8r.19,+P0;f8v.5,+P0;f8v.7,+P0;f13r.3,+P0;f22r.3,+P0;f23r.6,+P0;f24v.7,+P0;f33r.4,+P0;f39r.7,+P0",A||4|&L:1/R06;A||4|circular/diagram_text:1/R06;A||4|radial/ring_text:1/R06;B|B|2|paragraph_continuation:10/R06;B|B|2|paragraph_start:1/R06;C|B|2|paragraph_continuation:2/R06
chor,48,47,R11,1.0,0.0,1.0,1.0,11,5,5,0,G3C,0.75,0.67,0.833,5,H,0.75,0.536,3,A,0.854,0.433,5,1,0.833,0.391,4,paragraph_continuation,0.854,0.4,0.854,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,COMPACT_LABEL_OR_INDEX_LEXEME_CANDIDATE,MEDIUM,"f1r.8,+P0;f1r.20,+P0;f3r.8,+P0;f3v.5,+P0;f3v.7,+P0;f4v.7,+P0;f4v.8,+P0;f5v.1,@P0;f6r.2,+P0;f6v.13,+P0",A||4|paragraph_start:1/R11;H|A|1|paragraph_continuation:31/R11;H|A|1|paragraph_start:3/R11;H|A|1|section/paragraph_break_start:1/R11;H|B|2|paragraph_continuation:1/R11;P|A|1|label_or_marginal:2/R11
shey,48,46,R06,1.0,0.0,1.0,1.0,12,7,7,0,G2,0.583,0.864,0.708,6,B,0.312,0.85,3,B,0.729,0.599,6,2,0.438,0.723,2,paragraph_continuation,0.875,0.544,0.875,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f7r.1,@P0;f8v.7,+P0;f11r.1,@P0;f13r.9,+P0;f15r.1,@P0;f21r.11,+P0;f46r.12,+P0;f51r.10,+P0;f58v.10,+P0;f66r.80,+P0",A||4|paragraph_continuation:1/R06;B|B|2|paragraph_continuation:15/R06;H|A|1|paragraph_continuation:5/R06;H|A|1|paragraph_start:4/R06;H|B|2|paragraph_continuation:1/R06;P|A|1|paragraph_continuation:2/R06
s,39,39,R06,1.0,0.0,1.0,1.0,14,5,5,0,G3C,0.641,0.79,0.718,7,H,0.641,0.636,3,A,0.615,0.782,5,1,0.59,0.716,5,paragraph_continuation,0.692,0.621,0.692,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f3r.5,+P0;f3r.20,+P0;f3v.7,+P0;f4v.13,+P0;f6v.6,+P0;f6v.13,+P0;f9r.1,@P0;f13r.2,+P0;f14r.8,+P0;f19v.6,+P0",A||4|label_or_marginal:1/R06;A||4|paragraph_start:1/R06;B|B|2|=L:2/R06;B|B|2|paragraph_continuation:1/R06;C||4|label_or_marginal:1/R06;H|A|1|label_or_marginal:1/R06
dal,37,36,R09,1.0,0.0,1.0,1.0,13,7,7,0,G2,0.378,0.991,0.73,6,B,0.351,0.851,3,B,0.595,0.799,4,2,0.514,0.844,5,paragraph_continuation,0.865,0.358,0.865,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f1v.3,+P0;f2r.11,+P0;f24r.15,+P0;f24r.16,+P0;f34r.7,+P0;f39v.9,+P0;f42r.3,+P0;f51r.9,+P0;f55r.9,+P0;f56r.7,+P0",B|B|2|+L:1/R09;B|B|2|paragraph_continuation:11/R09;B|B|2|paragraph_start:1/R09;C|B|2|paragraph_continuation:2/R09;C||4|paragraph_continuation:1/R09;C||4|radial/ring_text:2/R09
okeey,37,36,R06,1.0,0.0,1.0,1.0,12,5,5,0,G3C,0.432,0.966,0.649,7,S,0.541,0.759,3,B,0.595,0.863,5,3,0.514,0.782,4,paragraph_continuation,0.757,0.565,0.757,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f17v.20,+P0;f35v.16,+P0;f51r.5,+P0;f58v.35,+P0;f67r1.18,@Ri;f68v2.4,+P0;f68v1.8,@Ro;f69r.8,&L0;f69r.41,@Ro;f72r1.16,&Lz",A||4|paragraph_continuation:1/R06;A||4|radial/ring_text:2/R06;B|B|2|=L:1/R06;B|B|2|paragraph_continuation:2/R06;C||4|&L:1/R06;C||4|radial/ring_text:1/R06
okal,36,34,R07,1.0,0.0,1.0,1.0,13,6,6,0,G1,0.528,0.927,0.778,7,S,0.5,0.78,3,B,0.583,0.86,5,3,0.528,0.791,4,paragraph_continuation,0.833,0.429,0.833,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f17v.3,+P0;f25r.6,+P0;f39v.9,+P0;f40v.18,+P0;f54v.8,+P0;f58v.10,+P0;f58v.15,+P0;f58v.28,+P0;f58v.31,+P0;f58v.38,+P0",A||4|&L:1/R07;A||4|+L:1/R07;B|B|2|label_or_marginal:1/R07;B|B|2|paragraph_continuation:3/R07;H|A|1|paragraph_continuation:3/R07;H|B|2|paragraph_continuation:2/R07
oky,29,29,R00,1.0,0.0,1.0,1.0,14,5,5,0,G3C,0.621,0.806,0.897,8,H,0.414,0.849,3,A,0.448,0.97,5,1,0.414,0.859,7,paragraph_continuation,0.621,0.652,0.621,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f3r.8,+P0;f9v.3,+P0;f11v.3,+P0;f17v.4,+P0;f19v.9,+P0;f21v.5,+P0;f22v.1,@P0;f24r.17,+P0;f43v.3,+P0;f45v.10,+P0",A||4|circular/diagram_text:1/R00;A||4|label_or_marginal:1/R00;B|B|2|paragraph_continuation:1/R00;C|B|4|+L:1/R00;C||4|radial/ring_text:1/R00;H|A|1|paragraph_continuation:9/R00
sheey,29,28,R06,1.0,0.0,1.0,1.0,10,6,6,0,G2,0.69,0.758,0.759,7,S,0.31,0.865,3,B,0.655,0.743,4,2,0.448,0.827,3,paragraph_continuation,0.897,0.363,0.897,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f2r.11,+P0;f7r.1,@P0;f7r.3,+P0;f58v.22,+Pc;f58v.25,+P0;f58v.28,+P0;f68r2.29,@Ls;f76r.6,+P0;f76r.45,+P0;f76r.47,+P0",A||4|label_or_marginal:1/R06;B|B|2|paragraph_continuation:7/R06;C|B|2|paragraph_continuation:1/R06;H|A|1|paragraph_continuation:2/R06;H|A|1|paragraph_start:1/R06;P|A|1|paragraph_continuation:2/R06
okar,27,26,R03,1.0,0.0,1.0,1.0,10,6,6,0,G2,0.444,0.966,0.778,6,H,0.222,0.975,3,B,0.778,0.573,3,2,0.556,0.9,6,paragraph_continuation,0.704,0.586,0.778,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f40r.5,+P0;f40v.5,+P0;f40v.16,+P0;f50r.5,+P0;f55r.2,+P0;f55r.3,+P0;f58v.22,+Pc;f67r2.3,&L0;f67r2.10,&L0;f67v2.16,@Ri",A||4|&L:2/R03;B|B|2|paragraph_continuation:3/R03;B|B|2|~L:1/R03;C|B|4|label_or_marginal:1/R03;C|B|4|paragraph_start:1/R03;C||4|radial/ring_text:3/R03
y,25,25,R06,1.0,0.0,1.0,1.0,9,6,6,0,G3C,0.44,0.957,0.76,5,H,0.6,0.715,3,A,0.52,0.756,5,1,0.44,0.869,3,paragraph_continuation,0.6,0.835,0.6,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f13r.2,+P0;f19r.2,+P0;f21r.6,+P0;f33r.3,+P0;f39r.11,+P0;f49v.7,*L0;f49v.23,*L0;f49v.37,*L0;f49v.45,*L0;f49v.51,*L0",B|B|2|paragraph_continuation:1/R06;C||4|label_or_marginal:1/R06;H|A|1|label_or_marginal:5/R06;H|A|1|paragraph_continuation:6/R06;H|B|2|paragraph_continuation:4/R06;S|A|3|paragraph_continuation:2/R06
okol,23,22,R07,1.0,0.0,1.0,1.0,11,4,4,0,G1,0.435,0.901,0.826,6,P,0.348,0.848,3,A,0.565,0.89,4,1,0.565,0.79,5,paragraph_continuation,0.652,0.664,0.652,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f14r.2,+P0;f23r.6,+P0;f23v.6,+P0;f40r.5,+P0;f42r.20,+P0;f67r2.35,@Pb;f68r3.22,@Cc;f68v3.14,@Cc;f73v.1,@Lz;f77v.42,+P0",A||4|circular/diagram_text:1/R07;A||4|paragraph_start:1/R07;B|B|2|paragraph_continuation:3/R07;B|B|2|~L:1/R07;C||4|circular/diagram_text:1/R07;H|A|1|paragraph_continuation:5/R07
otaiin,23,22,R10,1.0,0.0,1.0,1.0,6,5,5,0,G3C,0.522,0.93,0.696,5,H,0.348,0.885,3,B,0.565,0.821,4,1,0.348,0.922,3,paragraph_continuation,0.87,0.428,0.87,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f5v.2,+P0;f6r.9,+P0;f7r.5,+P0;f9r.3,+P0;f9v.3,+P0;f15r.11,+P0;f22v.6,+P0;f28r.8,+P0;f71v.7,&Lz;f72r1.9,&Lz",B|B|2|paragraph_continuation:2/R10;C|B|2|paragraph_continuation:3/R10;H|A|1|paragraph_continuation:8/R10;S|B|3|paragraph_continuation:7/R10;S|B|3|paragraph_start:1/R10;Z||4|&L:2/R10
chy,21,20,R00,1.0,0.0,1.0,1.0,7,2,2,0,G3C,0.571,0.828,0.857,6,H,0.667,0.63,3,A,0.714,0.662,3,1,0.714,0.662,4,paragraph_continuation,0.857,0.409,0.857,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f2r.11,+P0;f4v.2,+P0;f9v.9,+P0;f10r.9,+P0;f14r.13,+P0;f15r.12,+P0;f20v.10,+P0;f29r.1,@P0;f29v.9,+P0;f32v.11,+P0",A||4|radial/ring_text:1/R00;B|B|2|paragraph_continuation:3/R00;C|B|2|paragraph_continuation:1/R00;H|A|1|paragraph_continuation:13/R00;H|A|1|paragraph_start:1/R00;P|A|1|label_or_marginal:1/R00
shy,21,20,R06,1.0,0.0,1.0,1.0,9,5,5,0,G3C,0.524,0.847,0.81,7,H,0.619,0.681,3,A,0.524,0.847,4,1,0.524,0.775,5,paragraph_continuation,0.619,0.7,0.619,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f1v.3,+P0;f8r.1,@P0;f9r.1,@P0;f13r.2,+P0;f15r.1,@P0;f19r.3,+P0;f19r.6,+P0;f22v.1,@P0;f34r.4,+P0;f35v.20,+P0",A||4|radial/ring_text:1/R06;B|B|2|paragraph_continuation:2/R06;C||4|&L:1/R06;H|A|1|paragraph_continuation:6/R06;H|A|1|paragraph_start:4/R06;H|B|2|paragraph_continuation:3/R06
daiin,134,116,R10,1.0,0.0,1.0,1.0,16,10,10,0,G3C,0.41,0.978,0.649,7,H,0.582,0.659,3,A,0.604,0.707,6,1,0.582,0.681,5,paragraph_continuation,0.94,0.18,0.94,STABLE_BUT_METADATA_SKEWED_OR_TOPIC_BOUND,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f3v.10,+P0;f4r.7,+P0;f5v.1,@P0;f6r.2,+P0;f6r.6,+P0;f6v.7,+P0;f7r.4,+P0;f8v.17,+P0;f9v.3,+P0;f9v.9,+P0",A||4|&L:1/R10;A||4|paragraph_continuation:1/R10;A||4|radial/ring_text:1/R10;B|B|2|paragraph_continuation:15/R10;C|B|4|paragraph_start:1/R10;C||4|paragraph_continuation:1/R10
chol,96,83,R07,1.0,0.0,1.0,1.0,14,7,7,0,G3C,0.469,0.904,0.719,7,H,0.594,0.652,3,A,0.688,0.677,5,1,0.667,0.629,3,paragraph_continuation,0.979,0.105,0.979,STABLE_BUT_METADATA_SKEWED_OR_TOPIC_BOUND,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f3r.8,+P0;f3r.20,+P0;f3v.10,+P0;f5v.2,+P0;f6v.14,+P0;f7r.9,+P0;f8v.5,+P0;f10r.5,+P0;f13r.2,+P0;f13r.9,+P0",A||4|label_or_marginal:1/R07;A||4|paragraph_continuation:1/R07;A||4|paragraph_start:1/R07;B|B|2|paragraph_continuation:5/R07;C|B|2|paragraph_continuation:1/R07;C||4|paragraph_continuation:1/R07
shedy,95,83,R06,1.0,0.0,1.0,1.0,11,6,6,0,G2,0.579,0.744,0.632,5,B,0.568,0.719,1,B,1.0,0.0,4,2,0.758,0.51,3,paragraph_continuation,0.947,0.22,1.0,STABLE_BUT_METADATA_SKEWED_OR_TOPIC_BOUND,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f33r.3,+P0;f41r.10,+P0;f46v.3,+P0;f50v.2,+P0;f66r.67,+P0;f66r.70,+P0;f75r.11,+P0;f75r.15,+P0;f75r.17,+P0;f75r.18,+P0",B|B|2|paragraph_continuation:53/R06;B|B|2|paragraph_start:1/R06;C|B|2|paragraph_continuation:1/R06;C|B|2|paragraph_start:1/R06;H|B|2|paragraph_continuation:3/R06;H|B|5|paragraph_continuation:1/R06
chedy,94,82,R02,1.0,0.0,1.0,1.0,9,6,6,0,G2,0.543,0.864,0.574,4,S,0.436,0.827,1,B,1.0,0.0,4,2,0.543,0.596,3,paragraph_continuation,0.957,0.182,1.0,STABLE_BUT_METADATA_SKEWED_OR_TOPIC_BOUND,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f39r.7,+P0;f40r.5,+P0;f40v.13,+P0;f43v.8,+P0;f46v.3,+P0;f46v.13,+P1;f66r.61,+P0;f75r.7,+P0;f75r.15,+P0;f75r.16,+P0",B|B|2|paragraph_continuation:36/R02;B|B|2|paragraph_start:1/R02;H|B|2|paragraph_continuation:6/R02;H|B|3|paragraph_continuation:1/R02;S|B|3|paragraph_continuation:39/R02;S|B|@|paragraph_continuation:2/R02
qokedy,89,73,H12,1.0,0.0,1.0,1.0,11,7,7,0,G1,0.607,0.967,0.685,5,B,0.596,0.718,1,B,1.0,0.0,5,2,0.719,0.519,2,paragraph_continuation,0.966,0.213,1.0,STABLE_BUT_METADATA_SKEWED_OR_TOPIC_BOUND,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f26r.6,+P0;f33r.3,+P0;f34r.7,+P0;f40v.13,+P0;f41r.7,+P0;f41r.10,+P0;f50v.8,+P0;f66r.76,+P0;f75r.9,+P0;f75r.13,+P0",B|B|2|paragraph_continuation:51/H12;B|B|2|paragraph_start:2/H12;C|B|2|paragraph_continuation:1/H12;C|B|2|paragraph_start:1/H12;C|B|4|paragraph_continuation:2/H12;H|B|2|paragraph_continuation:5/H12
qokeedy,85,70,H01,1.0,0.0,1.0,1.0,8,3,3,0,G1,0.647,0.937,0.682,5,B,0.541,0.612,1,B,1.0,0.0,4,2,0.6,0.588,2,paragraph_continuation,0.988,0.092,1.0,STABLE_BUT_METADATA_SKEWED_OR_TOPIC_BOUND,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f40v.17,+P0;f41r.10,+P0;f66r.51,+P0;f75r.6,+P0;f75r.11,+P0;f75r.25,+P0;f75r.29,+P0;f75r.37,+P0;f75r.39,+P0;f75r.41,+P0",B|B|2|paragraph_continuation:46/H01;C|B|2|paragraph_start:1/H01;H|B|2|paragraph_continuation:1/H01;H|B|5|paragraph_continuation:1/H01;S|B|3|paragraph_continuation:31/H01;S|B|@|paragraph_continuation:1/H01
qokeey,77,67,H08,1.0,0.0,1.0,1.0,10,7,7,0,G2,0.532,0.997,0.584,6,S,0.481,0.724,2,B,0.857,0.592,4,3,0.481,0.729,3,paragraph_continuation,0.948,0.212,0.948,STABLE_BUT_METADATA_SKEWED_OR_TOPIC_BOUND,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f17v.8,+P0;f23r.4,+P0;f34r.11,+P0;f58v.7,+P0;f58v.18,+P0;f58v.31,+P0;f66r.55,+P0;f75r.33,+P0;f75v.45,+P0;f76r.8,=P0",B|B|2|paragraph_continuation:24/H08;B|B|2|paragraph_start:1/H08;C|B|2|paragraph_continuation:2/H08;H|A|1|paragraph_continuation:4/H08;H|B|2|paragraph_continuation:1/H08;P|A|1|paragraph_continuation:4/H08
ol,73,66,R06,1.0,0.0,1.0,1.0,11,7,7,0,G2,0.575,0.74,0.74,6,B,0.521,0.75,3,B,0.808,0.517,5,2,0.603,0.687,4,paragraph_continuation,0.959,0.156,0.959,STABLE_BUT_METADATA_SKEWED_OR_TOPIC_BOUND,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f3r.9,+P0;f4v.2,+P0;f17v.8,+P0;f17v.12,+P0;f17v.18,+P0;f24r.15,+P0;f32v.11,+P0;f35v.13,+P0;f40r.5,+P0;f43v.16,+P0",B|B|2|paragraph_continuation:38/R06;C|B|2|paragraph_continuation:2/R06;C||4|circular/diagram_text:1/R06;C||4|radial/ring_text:1/R06;H|A|1|paragraph_continuation:10/R06;H|B|2|paragraph_continuation:3/R06
aiin,57,51,R06,1.0,0.0,1.0,1.0,13,7,7,0,G2,0.439,0.974,0.649,7,S,0.474,0.744,3,B,0.789,0.59,5,3,0.474,0.741,4,paragraph_continuation,0.93,0.236,0.93,STABLE_BUT_METADATA_SKEWED_OR_TOPIC_BOUND,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f3r.20,+P0;f10r.4,+P0;f29r.1,@P0;f33r.4,+P0;f34r.4,+P0;f39r.11,+P0;f39v.9,+P0;f43r.3,+P0;f43v.9,+P0;f43v.16,+P0",A||4|paragraph_continuation:2/R06;A||4|paragraph_start:1/R06;A||4|radial/ring_text:1/R06;B|B|2|paragraph_continuation:5/R06;C|B|2|paragraph_continuation:3/R06;H|A|1|paragraph_continuation:3/R06
chey,54,50,R06,1.0,0.0,1.0,1.0,10,6,6,0,G2,0.704,0.616,0.741,5,S,0.593,0.731,2,B,0.87,0.556,4,3,0.574,0.719,2,paragraph_continuation,0.963,0.229,0.963,STABLE_BUT_METADATA_SKEWED_OR_TOPIC_BOUND,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f1r.20,+P0;f4v.2,+P0;f9r.3,+P0;f29r.9,+P0;f29v.2,+P0;f34r.4,+P0;f43v.3,+P0;f43v.16,+P0;f58v.35,+P0;f75r.8,+P0",B|B|2|paragraph_continuation:8/R06;H|A|1|paragraph_continuation:4/R06;H|B|2|paragraph_continuation:3/R06;P|A|1|paragraph_continuation:1/R06;S|A|3|paragraph_continuation:1/R06;S|B|3|paragraph_continuation:30/R06
dain,48,45,R06,1.0,0.0,1.0,1.0,11,5,5,0,G2,0.396,0.992,0.667,5,H,0.312,0.891,2,B,0.625,0.954,3,1,0.375,0.991,3,paragraph_continuation,0.917,0.304,0.917,STABLE_BUT_METADATA_SKEWED_OR_TOPIC_BOUND,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f1r.8,+P0;f1r.10,=Pt;f1r.20,+P0;f5v.2,+P0;f8r.8,=Pt;f8v.17,+P0;f10v.2,+P0;f10v.7,+P0;f14r.1,@P0;f14r.7,+P0",B|B|2|paragraph_continuation:11/R06;H|A|1|paragraph_continuation:12/R06;H|A|1|paragraph_start:1/R06;H|A|1|paragraph_terminal_or_label:1/R06;H|B|2|paragraph_continuation:1/R06;P|A|1|paragraph_continuation:1/R06
or,48,46,R06,1.0,0.0,1.0,1.0,15,6,6,0,G3C,0.438,0.961,0.729,7,H,0.438,0.823,3,B,0.542,0.794,4,1,0.375,0.882,3,paragraph_continuation,0.917,0.314,0.917,STABLE_BUT_METADATA_SKEWED_OR_TOPIC_BOUND,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f1r.3,+P0;f1v.2,+P0;f3v.6,+P0;f6r.6,+P0;f6v.13,+P0;f6v.18,+P0;f10r.4,+P0;f18r.4,+P0;f24r.1,@P0;f24r.4,+P0",A||4|paragraph_continuation:1/R06;A||4|radial/ring_text:1/R06;B|B|2|paragraph_continuation:9/R06;C|B|2|paragraph_continuation:1/R06;C||4|radial/ring_text:1/R06;H|A|1|paragraph_continuation:13/R06
qokaiin,44,43,H08,1.0,0.0,1.0,1.0,10,6,6,0,G1,0.727,0.845,0.795,6,S,0.5,0.784,2,B,0.841,0.632,3,3,0.5,0.875,3,paragraph_continuation,0.955,0.197,0.955,STABLE_BUT_METADATA_SKEWED_OR_TOPIC_BOUND,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f23r.6,+P0;f29r.7,+P0;f40v.17,+P0;f45r.2,+P0;f54v.8,+P0;f58v.9,+P0;f58v.10,+P0;f76r.32,=P0;f76r.45,+P0;f77r.11,+P0",B|B|2|paragraph_continuation:9/H08;C|B|2|paragraph_continuation:2/H08;C|B|2|paragraph_start:1/H08;H|A|1|paragraph_continuation:4/H08;H|B|2|paragraph_continuation:1/H08;P|A|1|paragraph_continuation:1/H08
qoky,43,42,H01,1.0,0.0,1.0,1.0,10,5,5,0,G1,0.605,0.968,0.698,5,B,0.558,0.746,2,B,0.814,0.693,4,2,0.628,0.74,2,paragraph_continuation,0.977,0.159,0.977,STABLE_BUT_METADATA_SKEWED_OR_TOPIC_BOUND,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f15v.4,+P0;f18v.3,+P0;f40v.16,+P0;f43v.16,+P0;f45r.2,+P0;f53r.7,+P0;f58v.38,+P0;f66r.69,+P0;f66r.77,+P0;f75r.6,+P0",B|B|2|paragraph_continuation:23/H01;B|B|2|paragraph_start:1/H01;H|A|1|paragraph_continuation:6/H01;H|B|2|paragraph_continuation:2/H01;H|B|3|paragraph_continuation:1/H01;P|A|1|paragraph_continuation:1/H01
okaiin,42,41,R10,1.0,0.0,1.0,1.0,9,5,5,0,G3C,0.381,0.995,0.595,6,S,0.381,0.803,3,B,0.786,0.576,4,2,0.405,0.849,4,paragraph_continuation,0.905,0.298,0.905,STABLE_BUT_METADATA_SKEWED_OR_TOPIC_BOUND,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f15r.11,+P0;f16v.9,+P0;f33r.4,+P0;f36v.9,+P1;f40v.4,+P0;f40v.12,+P0;f40v.15,+P0;f47r.3,+P0;f50v.2,+P0;f55r.3,+P0",B|B|2|label_or_marginal:1/R10;B|B|2|paragraph_continuation:9/R10;H|A|1|paragraph_continuation:5/R10;H|B|2|paragraph_continuation:6/R10;P|A|1|paragraph_continuation:2/R10;S|B|3|paragraph_continuation:16/R10
chckhy,41,39,R00,1.0,0.0,1.0,1.0,6,5,5,0,G2,0.707,0.7,0.732,5,S,0.341,0.863,2,B,0.902,0.461,3,2,0.561,0.836,1,paragraph_continuation,1.0,0.0,1.0,STABLE_BUT_METADATA_SKEWED_OR_TOPIC_BOUND,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f6r.2,+P0;f13r.6,+P0;f14r.7,+P0;f34r.4,+P0;f40v.5,+P0;f40v.18,+P0;f50r.5,+P0;f50v.8,+P0;f55r.3,+P0;f55r.9,+P0",B|B|2|paragraph_continuation:12/R00;H|A|1|paragraph_continuation:3/R00;H|B|2|paragraph_continuation:7/R00;P|A|1|paragraph_continuation:1/R00;S|B|3|paragraph_continuation:14/R00;T|B|2|paragraph_continuation:4/R00
saiin,39,38,R06,1.0,0.0,1.0,1.0,10,6,6,0,G2,0.436,0.979,0.667,6,B,0.333,0.841,3,B,0.718,0.62,6,2,0.462,0.734,3,paragraph_continuation,0.949,0.216,0.949,STABLE_BUT_METADATA_SKEWED_OR_TOPIC_BOUND,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f15r.6,+P0;f16r.9,+P0;f16v.11,+P0;f33r.4,+P0;f34r.11,+P0;f40v.18,+P0;f42v.8,+P0;f47v.6,+P0;f58v.2,+P0;f66r.12,+L0",A||4|paragraph_start:1/R06;B|B|2|paragraph_continuation:13/R06;H|A|1|paragraph_continuation:7/R06;H|B|2|paragraph_continuation:3/R06;P|A|1|paragraph_continuation:2/R06;S|A|3|paragraph_continuation:1/R06
