token,occurrences_core,distinct_lines,dominant_role,dominant_role_share,role_entropy_norm,stratified_role_purity,stratum_majority_role_agreement,strata_total,strata_with_2plus_occurrences,portable_strata_2plus,conflict_strata_2plus,dominant_module,dominant_module_share,module_entropy_norm,stratified_module_purity,distinct_section_I,dominant_I,dominant_I_share,section_I_entropy_norm,distinct_currier_L,dominant_L,dominant_L_share,currier_L_entropy_norm,distinct_hand_H,dominant_H,dominant_H_share,hand_H_entropy_norm,distinct_marker_family,dominant_marker,dominant_marker_share,marker_entropy_norm,metadata_concentration_risk_max_share,pass26_residual_status,pass21_24_candidate_class,pass21_24_candidate_confidence,sample_loci,sample_strata
otykchs,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G3C,1.0,0.0,1.0,1,A,1.0,0.0,1,nan,1.0,0.0,1,4,1.0,0.0,1,label_or_marginal,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f68r1.24,@Ls",A||4|label_or_marginal:1/R00
otyky,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G3C,1.0,0.0,1.0,1,H,1.0,0.0,1,A,1.0,0.0,1,1,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f21r.11,+P0",H|A|1|paragraph_continuation:1/R00
otylor,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G2,1.0,0.0,1.0,1,B,1.0,0.0,1,B,1.0,0.0,1,2,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f79v.23,+P0",B|B|2|paragraph_continuation:1/R00
otys,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G3C,1.0,0.0,1.0,1,A,1.0,0.0,1,nan,1.0,0.0,1,4,1.0,0.0,1,label_or_marginal,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f68r1.19,@Ls",A||4|label_or_marginal:1/R00
otytchy,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G3C,1.0,0.0,1.0,1,H,1.0,0.0,1,A,1.0,0.0,1,1,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f19r.6,+P0",H|A|1|paragraph_continuation:1/R00
oydchy,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G3C,1.0,0.0,1.0,1,A,1.0,0.0,1,nan,1.0,0.0,1,4,1.0,0.0,1,label_or_marginal,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f68r2.17,@Ls",A||4|label_or_marginal:1/R00
oygy,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G3C,1.0,0.0,1.0,1,A,1.0,0.0,1,nan,1.0,0.0,1,4,1.0,0.0,1,circular/diagram_text,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f68r1.37,@Cc",A||4|circular/diagram_text:1/R00
oykchor,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G3C,1.0,0.0,1.0,1,H,1.0,0.0,1,A,1.0,0.0,1,1,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f10r.9,+P0",H|A|1|paragraph_continuation:1/R00
oykeey,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G1,1.0,0.0,1.0,1,H,1.0,0.0,1,A,1.0,0.0,1,1,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f14r.2,+P0",H|A|1|paragraph_continuation:1/R00
oyteedy,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G3C,1.0,0.0,1.0,1,Z,1.0,0.0,1,nan,1.0,0.0,1,4,1.0,0.0,1,&L,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f73r.25,&Lz",Z||4|&L:1/R00
oyteey,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G3C,1.0,0.0,1.0,1,H,1.0,0.0,1,A,1.0,0.0,1,1,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f37v.18,+P0",H|A|1|paragraph_continuation:1/R00
paichy,1,1,R06,1.0,0.0,1.0,1.0,1,0,0,0,G2,1.0,0.0,1.0,1,S,1.0,0.0,1,B,1.0,0.0,1,3,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f107r.42,+P0",S|B|3|paragraph_continuation:1/R06
parchdy,1,1,R00,1.0,0.0,1.0,1.0,1,0,0,0,G1,1.0,0.0,1.0,1,H,1.0,0.0,1,B,1.0,0.0,1,5,1.0,0.0,1,paragraph_continuation,1.0,0.0,1.0,LOW_POWER_TOKEN,LOW_SUPPORT_OR_POLYFUNCTIONAL,LOW,"f41r.7,+P0",H|B|5|paragraph_continuation:1/R00
